Output Name,Baseline Value,New Value,Error,Tolerance,Match
Mission.Journey[0].MissionEvent[17].SpacecraftState[4],21.81649801,21.81649799,2.000000165480742e-08,1e-10,False
Mission.Journey[0].MissionEvent[17].SpacecraftState[5],9.58291045,9.58291046,1.000000082740371e-08,1e-10,False
Mission.Journey[0].MissionEvent[18].SpacecraftState[0],186567498.36340225,186567498.37986225,0.016460001468658447,1e-10,False
Mission.Journey[0].MissionEvent[18].SpacecraftState[1],25953941.88478808,25953941.54181425,0.34297383204102516,1e-10,False
Mission.Journey[0].MissionEvent[18].SpacecraftState[2],7882115.35949595,7882115.56563026,0.20613430999219418,1e-10,False
Mission.Journey[0].MissionEvent[18].SpacecraftState[3],4.86304364,4.86304367,2.999999981767587e-08,1e-10,False
Mission.Journey[0].MissionEvent[18].SpacecraftState[4],21.50419277,21.50419276,1.000000082740371e-08,1e-10,False
Mission.Journey[0].MissionEvent[18].SpacecraftState[5],9.55687104,9.55687105,9.99999905104687e-09,1e-10,False
Mission.Journey[0].MissionEvent[19].SpacecraftState[0],189923496.28544843,189923496.3464058,0.060957372188568115,1e-10,False
Mission.Journey[0].MissionEvent[19].SpacecraftState[1],55785447.34923479,55785447.00411197,0.3451228216290474,1e-10,False
Mission.Journey[0].MissionEvent[19].SpacecraftState[2],21208325.8414939,21208326.0581507,0.21665680035948753,1e-10,False
Mission.Journey[0].MissionEvent[19].SpacecraftState[3],-0.01309022,-0.01309019,2.9999999999821836e-08,1e-10,False
Mission.Journey[0].MissionEvent[20].SpacecraftState[0],186837890.81713393,186837890.91903716,0.10190322995185852,1e-10,False
Mission.Journey[0].MissionEvent[20].SpacecraftState[1],83748515.66242109,83748515.326437,0.33598409593105316,1e-10,False
Mission.Journey[0].MissionEvent[20].SpacecraftState[2],33825826.05418921,33825826.27386734,0.2196781262755394,1e-10,False
Mission.Journey[0].MissionEvent[20].SpacecraftState[3],-4.23809853,-4.23809851,1.999999987845058e-08,1e-10,False
Mission.Journey[0].MissionEvent[20].SpacecraftState[4],18.89784679,18.8978468,1.000000082740371e-08,1e-10,False
Mission.Journey[0].MissionEvent[21].SpacecraftState[0],178159031.3940665,178159031.53322363,0.13915711641311646,1e-10,False
Mission.Journey[0].MissionEvent[21].SpacecraftState[1],109220253.20645636,109220252.88939202,0.3170643448829651,1e-10,False
Mission.Journey[0].MissionEvent[21].SpacecraftState[2],45437796.08408429,45437796.30009914,0.21601485460996628,1e-10,False
Mission.Journey[0].MissionEvent[21].SpacecraftState[3],-7.91405799,-7.91405796,2.999999981767587e-08,1e-10,False
Mission.Journey[0].MissionEvent[21].SpacecraftState[4],16.95896557,16.95896559,1.999999810209374e-08,1e-10,False
Mission.Journey[0].MissionEvent[22].SpacecraftState[0],171951505.18057135,171951505.3369316,0.15636023879051208,1e-10,False
Mission.Journey[0].MissionEvent[22].SpacecraftState[1],120866907.08609185,120866906.7817989,0.3042929470539093,1e-10,False
Mission.Journey[0].MissionEvent[22].SpacecraftState[2],50792493.03888097,50792493.25080381,0.21192284673452377,1e-10,False
Mission.Journey[0].MissionEvent[22].SpacecraftState[3],-9.57120173,-9.57120171,1.999999987845058e-08,1e-10,False
Mission.Journey[0].MissionEvent[22].SpacecraftState[4],15.87032776,15.87032778,1.999999987845058e-08,1e-10,False
Mission.Journey[0].MissionEvent[22].SpacecraftState[5],7.31907088,7.31907087,9.99999993922529e-09,1e-10,False
